companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
동국제약,086450,0.05,0.35
우진비앤지,018620,0.05,0.34
유유제약,000220,0.05,0.34
HLB,028300,0.07,0.35
HLB테라퓨틱스,115450,0.03,0.35
삼일제약,000520,0.04,0.35
카이노스메드,284620,0.04,0.35
대봉엘에스,078140,0.05,0.35
비씨월드제약,200780,0.05,0.36
티움바이오,321550,0.04,0.35
삼진제약,005500,0.04,0.35
서흥,008490,0.05,0.35
대웅제약,069620,0.05,0.36
일동홀딩스,000230,0.09,0.34
광동제약,009290,0.04,0.35
에이치엘사이언스,239610,0.05,0.35
종근당홀딩스,001630,0.05,0.35
일동제약,249420,0.05,0.29
고려제약,014570,0.05,0.37
서울제약,018680,0.04,0.35
종근당,185750,0.05,0.35
코미팜,041960,0.05,0.34
지놈앤컴퍼니,314130,0.04,0.35
에이프릴바이오,397030,0.04,0.35
하이텍팜,106190,0.05,0.34
프레스티지바이오파마,950210,0.04,0.35
네오이뮨텍,950220,0.04,0.36
CMG제약,058820,0.05,0.34
바이오플러스,099430,0.07,0.35
삼아제약,009300,0.03,0.34
메드팩토,235980,0.04,0.36
대한약품,023910,0.04,0.35
박셀바이오,323990,0.04,0.35
에이프로젠바이오로직스,003060,0.05,0.35
차백신연구소,261780,0.04,0.35
씨티씨바이오,060590,0.04,0.35
KPX생명과학,114450,0.03,0.3
화일약품,061250,0.05,0.35
한올바이오파마,009420,0.04,0.35
이수앱지스,086890,0.06,0.34
동아쏘시오홀딩스,000640,0.05,0.35
샤페론,378800,0.04,0.35
제일파마홀딩스,002620,0.05,0.36
알피바이오,314140,0.04,0.35
에이아이더뉴트리진,311960,0.04,0.35
